time_stamp,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,quat_x,quat_y,quat_z,quat_w
1927,-59.06,-157.50,115.44,-0.84,-0.01,-0.01
1940,-45.56,-133.44,91.12,-11.19,2.10,4.72
1958,-35.94,-119.00,77.25,-11.13,1.95,2.91
1961,-24.12,-102.12,62.88,-12.08,2.45,2.93
1967,-24.12,-102.12,62.88,-12.08,2.45,2.93
1977,-10.81,-88.38,51.94,-11.78,2.64,1.96
1998,8.19,-57.06,31.88,-10.68,2.45,0.35
2008,16.56,-5.75,-0.06,-10.73,2.81,0.66
2012,15.12,-17.94,14.00,-10.32,2.49,0.82
2017,15.12,-17.94,14.00,-10.32,2.49,0.82
2027,13.69,3.06,8.06,-9.54,2.74,1.36
2041,17.62,35.88,-9.69,-8.86,3.66,2.59
2052,19.38,47.31,-17.19,-8.41,3.98,3.01
2061,21.69,57.75,-21.75,-6.33,4.94,3.62
2067,21.69,57.75,-21.75,-6.33,4.94,3.62
2077,20.88,71.06,-23.94,-5.03,5.88,4.93
2098,14.31,91.56,-23.75,-2.69,5.96,7.78
2111,-14.75,45.25,-10.25,13.32,5.45,24.87
2117,-14.75,45.25,-10.25,13.32,5.45,24.87
2127,-13.31,14.31,-20.81,20.81,7.48,21.65
2140,-40.06,168.44,-78.69,-3.95,-1.31,2.97
2151,-22.56,212.62,-63.69,-16.04,7.57,-0.01
2161,-39.00,151.88,-26.12,-7.42,0.23,17.35
2167,-39.00,151.88,-26.12,-7.42,0.23,17.35
2177,-14.75,111.31,-27.25,-6.55,-1.93,13.44
2191,35.00,75.56,-36.56,-4.36,3.49,13.36
2201,38.12,65.38,-24.56,-2.98,4.71,10.86
2211,37.56,56.69,-10.56,-2.09,4.96,10.15
2217,37.56,56.69,-10.56,-2.09,4.96,10.15
2227,27.81,60.75,-7.06,-3.14,3.29,10.07
2240,36.06,47.06,-18.19,-1.67,3.79,8.20
2251,35.06,46.38,-20.12,-1.80,4.60,7.90
2261,31.12,48.56,-17.69,-2.20,5.26,8.14
2267,31.12,48.56,-17.69,-2.20,5.26,8.14
2277,25.88,46.38,-14.31,-2.53,4.89,8.61
2290,18.25,36.25,-13.25,-3.50,5.09,10.00
2301,11.25,27.75,-11.69,-2.52,3.97,9.76
2311,7.19,28.19,-10.19,-4.26,4.53,10.51
2317,7.19,28.19,-10.19,-4.26,4.53,10.51
2327,3.94,20.62,-3.88,-4.17,4.34,10.27
2340,-1.62,5.19,10.12,-1.77,3.55,9.43
2351,-3.50,4.94,19.44,-2.52,3.06,9.35
2361,5.56,6.12,14.12,-3.07,3.67,9.05
2367,5.56,6.12,14.12,-3.07,3.67,9.05
2377,6.44,4.25,14.81,-2.57,3.84,8.65
2390,10.50,2.19,11.94,-2.39,4.43,8.62
2401,5.88,6.06,-0.06,-3.25,3.72,8.52
2411,6.75,6.12,8.44,-3.02,4.43,9.24
2417,6.75,6.12,8.44,-3.02,4.43,9.24
2427,7.19,-0.31,15.12,-2.63,4.00,8.39
2441,-2.44,3.38,-0.06,-3.18,3.41,8.74
2451,-1.56,2.81,7.25,-3.54,4.01,8.90
2461,2.06,0.19,4.38,-2.99,3.94,7.91
2467,2.06,0.19,4.38,-2.99,3.94,7.91
2477,2.19,-0.56,-1.62,-2.33,3.90,8.94
2490,4.81,-0.25,-4.12,-1.72,3.84,8.58
2501,0.50,1.62,-4.62,-2.00,2.93,8.72
2511,3.06,1.12,-2.56,-2.45,3.28,8.47
2517,3.06,1.12,-2.56,-2.45,3.28,8.47
2527,1.50,2.06,0.56,-2.39,4.21,8.67
2540,0.25,3.06,1.12,-2.26,3.27,8.62
2551,-1.50,2.50,2.44,-2.97,3.19,8.68
2562,-0.19,1.19,1.44,-2.77,3.50,8.58
2566,-0.19,1.19,1.44,-2.77,3.50,8.58
2577,5.19,0.06,-1.56,-2.29,3.63,8.55
2590,4.19,0.38,-1.06,-3.02,3.64,8.30
2601,5.25,0.94,-0.56,-2.68,4.62,8.30
2611,0.31,-0.06,-0.06,-2.47,3.16,8.60
2617,0.31,-0.62,1.62,-2.47,3.16,8.60
2627,3.62,-0.69,3.12,-2.89,4.40,8.35
2640,1.62,0.81,0.88,-2.92,3.92,8.49
2651,2.75,-0.94,-1.31,-2.31,3.64,8.82
2661,3.62,-0.75,-2.38,-2.11,3.62,8.39
2667,3.62,-0.75,-2.38,-2.11,3.62,8.39
2677,5.44,0.94,-3.88,-2.74,4.30,8.26
2690,4.00,0.12,-2.25,-2.70,4.01,8.45
2701,3.44,1.19,-1.94,-2.50,3.36,8.63
2711,5.75,2.44,-2.31,-2.72,4.23,8.20
2717,5.75,2.44,-2.31,-2.72,4.23,8.20
2727,2.38,3.00,-0.75,-2.72,3.46,8.32
2739,4.06,4.00,0.38,-2.90,3.97,8.72
2751,6.31,4.69,-3.25,-2.26,3.50,8.57
2761,7.06,5.88,-2.94,-2.47,3.45,8.57
2767,7.06,5.88,-2.94,-2.47,3.45,8.57
2777,7.56,6.62,-2.62,-2.37,3.66,8.56
2790,8.31,7.75,-2.81,-2.01,3.70,8.45
2801,10.62,9.94,-2.81,-2.33,3.74,8.44
2811,12.38,11.12,-3.31,-2.51,3.79,8.43
2817,12.38,11.12,-3.31,-2.51,3.79,8.43
2827,12.88,12.00,-3.12,-2.45,3.74,8.45
2840,13.56,14.44,-3.62,-2.39,3.70,8.39
2850,15.50,17.12,-4.00,-2.57,4.01,8.41
2862,16.25,18.06,-4.31,-2.85,3.94,8.21
2867,16.25,18.06,-4.31,-2.85,3.94,8.21
2877,17.69,19.06,-4.69,-2.94,3.94,8.24
2890,19.62,20.19,-4.31,-2.81,3.83,8.10
